person_id,display_name,scholar_id,scholar_id_source_url,scholar_id_verified_at,orcid,homepage_url,notes
person-weber-04119f6b,Douglas J. Weber,7iFu3a4AAAAJ,https://engineering.cmu.edu/directory/bios/weber-douglas.html,2026-07-17,,https://engineering.cmu.edu/directory/bios/weber-douglas.html,Verified against an official CMU directory on 2026-07-17; Added from an official CMU directory on 2026-07-17; Merged duplicate registry identity person-douglasjweber-ffdf1a19 on 2026-07-17; Scholar ID verified from a linked public source on 2026-07-17.
person-webler-af4b5216,Bryan Webler,MFLMm8YAAAAJ,,,,,Verified against an official CMU directory on 2026-07-17.
person-webster-wood-d2b08d26,Victoria Webster-Wood,jW3whJYAAAAJ,,,,,Verified against an official CMU directory on 2026-07-17.
person-whitacre-a4124162,Jay Whitacre,NIaQAAUAAAAJ,,,,,Verified against an official CMU directory on 2026-07-17.
person-whitefoot-92d162cb,Kate Whitefoot,3W2VK5sAAAAJ,,,,,Verified against an official CMU directory on 2026-07-17.
person-whitehead-f74964e3,Kathryn Whitehead,zKKBwB4AAAAJ,,,,,Verified against an official CMU directory on 2026-07-17.
person-wiecha-63b6a98d,Wiecha,wgrJnDgAAAAJ,,,,,Migrated from the legacy map registries; full-name review pending.
person-wlodarski-430ec9b1,Rafal Wlodarski,,,,,,Verified against an official CMU directory on 2026-07-17.
person-wood-0659efc9,Sossena Wood,qC52bkkAAAAJ,,,,,Verified against an official CMU directory on 2026-07-17.
person-woolsey-491f86a5,Kristi Woolsey,,,,,,Verified against an official CMU directory on 2026-07-17.
person-yagan-7c6acaa4,Osman Yağan,XtTBo1AAAAAJ,,,,,Verified against an official CMU directory on 2026-07-17.
person-yongjiejessicazhang-5b7f2c04,Yongjie Jessica Zhang,,,,,,Added from an official CMU directory on 2026-07-17; Scholar ID unresolved.
person-yongxinleonzhao-ee657c1e,Yongxin (Leon) Zhao,eMZvqqAAAAAJ,https://labs.bio.cmu.edu/zhao/people/yongxin-zhao-ph-d/,2026-07-17,,https://labs.bio.cmu.edu/zhao/people/yongxin-zhao-ph-d/,Added from an official CMU directory on 2026-07-17; Scholar ID verified from a linked public source on 2026-07-17.
person-youssfi-452e51ed,Ziad Youssfi,,,,,,Verified against an official CMU directory on 2026-07-17.
person-yu-2318284f,Phillip Yu,,,,,,Verified against an official CMU directory on 2026-07-17.
person-yu-f6b9b7db,Byron Yu,Fz3_tukAAAAJ,,,,,Verified against an official CMU directory on 2026-07-17.
person-zackoryerickson-7430abb2,Zackory Erickson,wElkTtIAAAAJ,https://www.cmu.edu/bme/People/Faculty/profile/zerickson.html,2026-07-17,,https://www.cmu.edu/bme/People/Faculty/profile/zerickson.html,Added from an official CMU directory on 2026-07-17; Scholar ID verified from a linked public source on 2026-07-17.
person-zajdel-c0cb5464,Tom Zajdel,XDT0iaUAAAAJ,,,,,Verified against an official CMU directory on 2026-07-17.
person-zapanta-5293b7b5,Conrad M. Zapanta,Jobeqc8AAAAJ,https://engineering.cmu.edu/directory/bios/zapanta-conrad.html,2026-07-17,,https://engineering.cmu.edu/directory/bios/zapanta-conrad.html,Verified against an official CMU directory on 2026-07-17; Scholar ID verified from a linked public source on 2026-07-17.
person-zeyneptemel-b869d8a9,Zeynep Temel,3mSNkMkAAAAJ,https://www.cmu.edu/bme/People/Faculty/profile/ztemel.html,2026-07-17,,https://www.cmu.edu/bme/People/Faculty/profile/ztemel.html,Added from an official CMU directory on 2026-07-17; Scholar ID verified from a linked public source on 2026-07-17.
person-zhang-96ead879,Jessica Zhang,dzHYBKcAAAAJ,,,,,Verified against an official CMU directory on 2026-07-17.
person-zhang-d6e221d7,Xu Zhang,y881pqMAAAAJ,https://research.ece.cmu.edu/zhanglab/index.html,2026-07-17,,https://research.ece.cmu.edu/zhanglab/index.html,Verified against an official CMU directory on 2026-07-17; Scholar ID verified from a linked public source on 2026-07-17.
person-zhao-f1ed811c,Ding Zhao,z7tPc9IAAAAJ,,,,,Verified against an official CMU directory on 2026-07-17.
person-zheng-6b8a962f,Siyang Zheng,5EewAB0AAAAJ,,,,,Verified against an official CMU directory on 2026-07-17.
person-zhu-23d54a0c,Jimmy Zhu,ZJnhH6oAAAAJ,https://engineering.cmu.edu/directory/bios/zhu-jiangang.html,2026-07-18,,https://engineering.cmu.edu/directory/bios/zhu-jiangang.html,Scholar ID verified from the official CMU Engineering profile on 2026-07-18.
person-zlotnikov-f28b3cde,Susanna Zlotnikov,,,,,,Verified against an official CMU directory on 2026-07-17.
