person_id,department_id,role,included,legacy_label,source_url,verified_at
person-ulissi-c727254a,cheme,former,false,Ulissi,https://www.cheme.engineering.cmu.edu/directory/index.html,2026-07-17
person-wayne-7ded72b5,cheme,former,false,Wayne,https://www.cheme.engineering.cmu.edu/directory/index.html,2026-07-17
person-whitehead-f74964e3,cheme,faculty,true,Whitehead,https://www.cheme.engineering.cmu.edu/directory/index.html,2026-07-17
person-acharya-76f65eb0,civil,faculty,true,Acharya,https://cee.engineering.cmu.edu/directory/index.html,2026-07-17
person-adams-a5b5ae86,civil,faculty,true,Adams,https://cee.engineering.cmu.edu/directory/index.html,2026-07-17
person-akinci-3e3b7cc1,civil,faculty,true,Akinci,https://cee.engineering.cmu.edu/directory/index.html,2026-07-17
person-berges-0174bc49,civil,faculty,true,Berges,https://cee.engineering.cmu.edu/directory/index.html,2026-07-17
person-chrishendrickson-c5d421c4,civil,emeritus,true,Chris Hendrickson,https://cee.engineering.cmu.edu/directory/index.html,2026-07-17
person-christian-a1f6caea,civil,teaching,true,Christian,https://cee.engineering.cmu.edu/directory/index.html,2026-07-17
person-coffelt-0feda5ba,civil,former,false,Coffelt,https://cee.engineering.cmu.edu/directory/index.html,2026-07-17
person-cohon-8a9512c6,civil,former,false,Cohon,https://cee.engineering.cmu.edu/directory/index.html,2026-07-17
person-costasamaras-5d34bb32,civil,faculty,true,Costa Samaras,https://cee.engineering.cmu.edu/directory/index.html,2026-07-17
person-damonweiss-bfc30ae1,civil,teaching,true,Damon Weiss,https://cee.engineering.cmu.edu/directory/index.html,2026-07-17
person-daviddzombak-bbc748e3,civil,emeritus,true,David Dzombak,https://cee.engineering.cmu.edu/directory/index.html,2026-07-17
person-dayal-b41ee56d,civil,faculty,true,Dayal,https://cee.engineering.cmu.edu/directory/index.html,2026-07-17
person-donaldcoffeltpe-08cca73f,civil,adjunct,false,"Donald Coffelt, P.E.",https://cee.engineering.cmu.edu/directory/index.html,2026-07-17
person-fakhreddine-83227750,civil,faculty,true,Fakhreddine,https://cee.engineering.cmu.edu/directory/index.html,2026-07-17
person-finger-6029100c,civil,emeritus,true,Finger,https://cee.engineering.cmu.edu/directory/index.html,2026-07-17
person-flanigan-59555f39,civil,faculty,true,Flanigan,https://cee.engineering.cmu.edu/directory/index.html,2026-07-17
person-gregory-a0be117c,civil,faculty,true,Gregory,https://cee.engineering.cmu.edu/directory/index.html,2026-07-17
person-harper-452dbf2e,civil,faculty,true,Harper,https://cee.engineering.cmu.edu/directory/index.html,2026-07-17
person-jacobobielak-6e4c752e,civil,emeritus,true,Jacobo Bielak,https://cee.engineering.cmu.edu/directory/index.html,2026-07-17
person-jamesgarrett-c514e8dd,civil,faculty,true,James Garrett,https://cee.engineering.cmu.edu/directory/index.html,2026-07-17
person-lowry-4c51794b,civil,faculty,true,Lowry,https://cee.engineering.cmu.edu/directory/index.html,2026-07-17
person-mitchellsmall-5efaace7,civil,emeritus,true,Mitchell Small,https://cee.engineering.cmu.edu/directory/index.html,2026-07-17
person-moore-6001adb4,civil,teaching,true,Moore,https://cee.engineering.cmu.edu/directory/index.html,2026-07-17
person-nock-63d8bf3b,civil,faculty,true,Nock,https://cee.engineering.cmu.edu/directory/index.html,2026-07-17
person-ozis-873a4383,civil,teaching,true,Ozis,https://cee.engineering.cmu.edu/directory/index.html,2026-07-17
person-pozzi-244d5cb8,civil,faculty,true,Pozzi,https://cee.engineering.cmu.edu/directory/index.html,2026-07-17
person-qian-b45264e0,civil,faculty,true,Qian,https://cee.engineering.cmu.edu/directory/index.html,2026-07-17
